title,function,function_group,industries,industry_group,cluster
commercial contracts counsel,legal,Legal and Finance,biotechnology research,Healthcare and Pharmaceuticals,0
financial controller,"accounting,auditing,finance","Legal and Finance, Management and Leadership",software development,Technology and Information,0
legal secretary,legal,Legal and Finance,"technology,information,internet",Technology and Information,0
group financial controller,"accounting,auditing,finance","Legal and Finance, Management and Leadership","staffing,recruiting",Financial and Business Services,0
junior corporate accountant (remote internship – accounting),"accounting,auditing,finance","Legal and Finance, Management and Leadership","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",0
project controller – urgent hire,"accounting,auditing,finance","Legal and Finance, Management and Leadership","staffing,recruiting",Financial and Business Services,0
legal intern - student position (fixed term),legal,Legal and Finance,renewable energy power generation,Energy and Environment,0
ap accountant with english,"accounting,auditing,finance","Legal and Finance, Management and Leadership","staffing,recruiting",Financial and Business Services,0
counsel,legal,Legal and Finance,"it services,it consulting,technology,information,internet,financial services","Financial and Business Services, Services and Miscellaneous, Technology and Information",0
junior payroll specialist with english,"administrative,accounting,auditing,finance","Administrative and Support, Legal and Finance, Management and Leadership",human resources services,Financial and Business Services,0
junior payroll purser,"administrative,accounting,auditing,finance","Administrative and Support, Legal and Finance, Management and Leadership",travel arrangements,Services and Miscellaneous,0
accounting intern,"accounting,auditing,finance","Legal and Finance, Management and Leadership",motor vehicle manufacturing,Manufacturing,0
ap/ar accountant with languages,"accounting,auditing,finance","Legal and Finance, Management and Leadership","staffing,recruiting",Financial and Business Services,0
global procurement lead,"finance,management,purchasing","Legal and Finance, Management and Leadership, Purchasing and Supply Chain","capital markets,venture capital,private equity principals,investment management",Financial and Business Services,0
general counsel,legal,Legal and Finance,computer games,Technology and Information,0
contract management specialist,legal,Legal and Finance,farming,Other,0
ar accountant with english,"accounting,auditing,finance","Legal and Finance, Management and Leadership","staffing,recruiting",Financial and Business Services,0
become a sustainability advocate,legal,Legal and Finance,"staffing,recruiting",Financial and Business Services,0
crew controller,"accounting,auditing,finance","Legal and Finance, Management and Leadership","technology,information,internet",Technology and Information,0
gl accountant with english,"accounting,auditing,finance","Legal and Finance, Management and Leadership","staffing,recruiting",Financial and Business Services,0
"chief fbp, ind cee + we","finance,analyst,accounting,auditing","Legal and Finance, Management and Leadership, Research and Analysis",industrial machinery manufacturing,Manufacturing,0
finance graduate programme - multinational company,finance,Legal and Finance,"technology,information,internet",Technology and Information,0
junior accountant,"accounting,auditing,finance","Legal and Finance, Management and Leadership","technology,information,internet",Technology and Information,0
internal auditor,"accounting,auditing,finance","Legal and Finance, Management and Leadership",medical practices,Other,0
senior tax associate,"accounting,auditing,finance","Legal and Finance, Management and Leadership","business consulting,services","Financial and Business Services, Other",0
"revenue marketing specialist, eu & uk","accounting,auditing,finance","Legal and Finance, Management and Leadership",software development,Technology and Information,0
student assistant for accounts receivable,"accounting,auditing,finance","Legal and Finance, Management and Leadership",retail,Retail and Consumer Goods,0
business controller | remote | hybrid,"accounting,auditing,finance","Legal and Finance, Management and Leadership","staffing,recruiting",Financial and Business Services,0
senior financial controller,"accounting,auditing,finance","Legal and Finance, Management and Leadership","technology,information,internet",Technology and Information,0
chief accountant,"finance,analyst,accounting,auditing","Legal and Finance, Management and Leadership, Research and Analysis","transportation,logistics,supply chain,storage,motor vehicle manufacturing,truck transportation","Manufacturing, Services and Miscellaneous, Transportation and Logistics",0
business controller,"accounting,auditing,finance","Legal and Finance, Management and Leadership",renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",0
immigration associate – taiwan based,legal,Legal and Finance,"business consulting,services","Financial and Business Services, Other",0
junior management reporting controller,"accounting,auditing,finance","Legal and Finance, Management and Leadership",accounting,Financial and Business Services,0
corporate lawyer,legal,Legal and Finance,"broadcast media production,distribution",Other,0
(junior) regulatory affairs specialist,legal,Legal and Finance,"staffing,recruiting",Financial and Business Services,0
"financial controller, aalborg","accounting,auditing,finance","Legal and Finance, Management and Leadership",renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",0
renewable energy trading & optimisation compliance advisory lead,"management,legal","Legal and Finance, Management and Leadership","oil,gas,utilities","Energy and Environment, Other",0
project controller,"accounting,auditing,finance","Legal and Finance, Management and Leadership",civil engineering,Real Estate and Construction,0
junior risk reporting analyst,"management,finance,analyst","Legal and Finance, Management and Leadership, Research and Analysis","financial services,investment banking,investment management","Financial and Business Services, Other",0
accounting manager,"finance,accounting,auditing","Legal and Finance, Management and Leadership",software development,Technology and Information,0
finance and digital interns - finance operate & transformation team (aarhus),"accounting,auditing,finance","Legal and Finance, Management and Leadership","it services,it consulting,business consulting,services,accounting","Financial and Business Services, Other, Services and Miscellaneous",0
legal counsel compliance,legal,Legal and Finance,biotechnology research,Healthcare and Pharmaceuticals,0
accounts payable processor - part time,"accounting,auditing,finance","Legal and Finance, Management and Leadership",financial services,Financial and Business Services,0
international accounting coordinator,"accounting,auditing,finance","Legal and Finance, Management and Leadership",sporting goods manufacturing,Other,0
senior accountant,"accounting,auditing,finance","Legal and Finance, Management and Leadership",financial services,Financial and Business Services,0
ap accountant with spanish,"accounting,auditing,finance","Legal and Finance, Management and Leadership","staffing,recruiting",Financial and Business Services,0
director asset management,"accounting,auditing,finance","Legal and Finance, Management and Leadership","construction,financial services,hospitality","Financial and Business Services, Real Estate and Construction, Services and Miscellaneous",0
finance graduate,"finance,accounting,auditing","Legal and Finance, Management and Leadership",apparel & fashion,Retail and Consumer Goods,0
join our consulting cfo graduate programme in aarhus,finance,Legal and Finance,"business consulting,services","Financial and Business Services, Other",0
🇩🇰 finance manager,"finance,accounting,auditing,administrative","Administrative and Support, Legal and Finance, Management and Leadership","technology,information,internet,financial services","Financial and Business Services, Technology and Information",0
compliance graduate programme - multinational company,legal,Legal and Finance,"technology,information,internet",Technology and Information,0
junior compliance officer,legal,Legal and Finance,information technology & services,Technology and Information,0
business controller,"accounting,auditing,finance","Legal and Finance, Management and Leadership",pharmaceutical manufacturing,Manufacturing,0
student worker,"education,training",Education and Training,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",1
internship in digital learning & content development,"education,training",Education and Training,"appliances,electrical,electronics manufacturing","Manufacturing, Other",1
senior hr business partner,human resources,Human Resources and People Management,"appliances,electrical,electronics manufacturing","Manufacturing, Other",1
internship in computational or experimental fluid dynamics,"education,training",Education and Training,"appliances,electrical,electronics manufacturing","Manufacturing, Other",1
global head of rewards,human resources,Human Resources and People Management,"appliances,electrical,electronics manufacturing,motor vehicle manufacturing","Manufacturing, Other",1
technical support engineer,customer service,Customer Service,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",1
buyer - electronic components,"purchasing,supply chain",Purchasing and Supply Chain,"appliances,electrical,electronics manufacturing,retail luxury goods,jewelry","Manufacturing, Other, Retail and Consumer Goods",1
(m/f/d) head of supply chain finance,"finance,supply chain","Legal and Finance, Purchasing and Supply Chain","food,beverage services,food,beverage manufacturing,manufacturing","Food and Beverage, Manufacturing",1
calling new graduates with an interest in quality,administrative,Administrative and Support,pharmaceutical manufacturing,Manufacturing,1
head of supplier quality & compliance,legal,Legal and Finance,"appliances,electrical,electronics manufacturing","Manufacturing, Other",1
procurement contract manager for business services - aarhus,"purchasing,supply chain",Purchasing and Supply Chain,"dairy product manufacturing,food,beverage manufacturing,manufacturing","Food and Beverage, Manufacturing",1
portfolio analyst,"product management,administrative","Administrative and Support, Management and Leadership",pharmaceutical manufacturing,Manufacturing,1
talent acquisition partner r&ed,human resources,Human Resources and People Management,pharmaceutical manufacturing,Manufacturing,1
project manager service,other,Other,renewable energy equipment manufacturing,"Energy and Environment, Manufacturing",1
contract manager,legal,Legal and Finance,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",1
kamstrup is on behalf of thvilum looking for a new ceo – odder,other,Other,"appliances,electrical,electronics manufacturing","Manufacturing, Other",1
product quality lead,other,Other,"computers,electronics manufacturing","Manufacturing, Other",1
"intern, internal & leadership communications",administrative,Administrative and Support,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",1
french speaking customer success hero (maternity cover),other,Other,manufacturing,Manufacturing,1
procurement professional for expansion projects,"purchasing,supply chain",Purchasing and Supply Chain,pharmaceutical manufacturing,Manufacturing,1
project coordinator,other,Other,"appliances,electrical,electronics manufacturing,industrial machinery manufacturing,manufacturing","Manufacturing, Other",1
strategic sourcing internship,"purchasing,supply chain",Purchasing and Supply Chain,pharmaceutical manufacturing,Manufacturing,1
hr & hse manager,human resources,Human Resources and People Management,motor vehicle manufacturing,Manufacturing,1
buyer,"purchasing,supply chain",Purchasing and Supply Chain,"truck transportation,railroad equipment manufacturing","Manufacturing, Transportation and Logistics",1
"junior hr business partner to our international zone - arla, copenhagen",human resources,Human Resources and People Management,"dairy product manufacturing,food,beverage manufacturing,manufacturing","Food and Beverage, Manufacturing",1
commodity specialist,"purchasing,supply chain",Purchasing and Supply Chain,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",1
p-dag på katrinebjerg 2023,other,Other,manufacturing,Manufacturing,1
regulatory affairs cmc professionals,legal,Legal and Finance,pharmaceutical manufacturing,Manufacturing,1
purchasing intern (m/f),purchasing,Purchasing and Supply Chain,"chemical manufacturing,manufacturing",Manufacturing,1
communications leader,"public relations,writing,editing","Editing, Other, Writing, and Creative","medical equipment manufacturing,biotechnology research,pharmaceutical manufacturing","Healthcare and Pharmaceuticals, Manufacturing",1
senior global customer support manager,other,Other,"dairy product manufacturing,food,beverage manufacturing,manufacturing","Food and Beverage, Manufacturing",1
service supervisor,other,Other,machinery manufacturing,Manufacturing,1
hse continuous improvement specialist,other,Other,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",1
senior purchaser (f/m/d),"purchasing,supply chain",Purchasing and Supply Chain,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",1
aftersales intern,"education,training",Education and Training,motor vehicle manufacturing,Manufacturing,1
senior specialist training and competency development,other,Other,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",1
commodity lead,"purchasing,supply chain",Purchasing and Supply Chain,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",1
digital learning & development instructional designer,"education,training",Education and Training,pharmaceutical manufacturing,Manufacturing,1
corporate recruiter - copenhagen,human resources,Human Resources and People Management,automotive,Manufacturing,1
procurement - sourcing professional,"purchasing,supply chain",Purchasing and Supply Chain,pharmaceutical manufacturing,Manufacturing,1
product manager,"business development,product management,strategy,planning",Management and Leadership,"industrial machinery manufacturing,food,beverage manufacturing,international trade,development","Food and Beverage, Manufacturing, Other, Transportation and Logistics",1
internship - hr administration team with english,human resources,Human Resources and People Management,pharmaceutical manufacturing,Manufacturing,1
clinical trial coordinator,"research,science,health care provider","Healthcare and Science, Research and Analysis","veterinary services,biotechnology research,pharmaceutical manufacturing","Healthcare and Pharmaceuticals, Manufacturing, Other",1
hr operations intern,human resources,Human Resources and People Management,industrial machinery manufacturing,Manufacturing,1
continuous improvement expert,other,Other,pharmaceutical manufacturing,Manufacturing,1
commodity specialist,"purchasing,supply chain",Purchasing and Supply Chain,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",1
purchasing manager,"purchasing,supply chain",Purchasing and Supply Chain,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",1
office manager,administrative,Administrative and Support,automotive,Manufacturing,1
department assistant,administrative,Administrative and Support,pharmaceutical manufacturing,Manufacturing,1
local study start-up specialist i/ii (poland),"education,training",Education and Training,pharmaceutical manufacturing,Manufacturing,1
junior supply chain analyst,"strategy,planning",Management and Leadership,"appliances,electrical,electronics manufacturing,industrial machinery manufacturing,machinery manufacturing","Manufacturing, Other",1
m&p support (debrecen),other,Other,"appliances,electrical,electronics manufacturing","Manufacturing, Other",1
training professional with a solution-oriented mindset,human resources,Human Resources and People Management,pharmaceutical manufacturing,Manufacturing,1
purchasing coordinator,"general business,administrative,customer service","Administrative and Support, Customer Service, Management and Leadership","medical equipment manufacturing,biotechnology research,pharmaceutical manufacturing","Healthcare and Pharmaceuticals, Manufacturing",1
lead program manager,"general business,administrative,customer service","Administrative and Support, Customer Service, Management and Leadership",industrial machinery manufacturing,Manufacturing,1
nordic talent acquisition graduate - copenhagen,human resources,Human Resources and People Management,"personal care product manufacturing,manufacturing","Manufacturing, Services and Miscellaneous",1
project proposal in augmented reality (ar),other,Other,"appliances,electrical,electronics manufacturing","Manufacturing, Other",1
spanish speaking hr operations associate,human resources,Human Resources and People Management,industrial machinery manufacturing,Manufacturing,1
internship in hardware rf communication,"education,training",Education and Training,"appliances,electrical,electronics manufacturing","Manufacturing, Other",1
master thesis in production,"education,training",Education and Training,industrial machinery manufacturing,Manufacturing,1
senior procurement consultant - offshore wind,"business development,consulting,supply chain","Management and Leadership, Purchasing and Supply Chain","renewable energy semiconductor manufacturing,oil,gas","Energy and Environment, Manufacturing",1
student worker – electrical engineering within power-to-x,"education,training",Education and Training,"appliances,electrical,electronics manufacturing","Manufacturing, Other",1
internship in erp,"education,training",Education and Training,"appliances,electrical,electronics manufacturing","Manufacturing, Other",1
internship in cellular technology solutions,"education,training",Education and Training,"appliances,electrical,electronics manufacturing","Manufacturing, Other",1
internship in business area marketing,"education,training",Education and Training,"appliances,electrical,electronics manufacturing","Manufacturing, Other",1
"legal counsel /data privacy, viby",legal,Legal and Finance,"dairy product manufacturing,food,beverage manufacturing,manufacturing","Food and Beverage, Manufacturing",1
"sr field service engineer, ioms (emea)","training,consulting,customer service","Customer Service, Education and Training, Management and Leadership","biotechnology research,pharmaceutical manufacturing","Healthcare and Pharmaceuticals, Manufacturing",1
head of biostatistics department in søborg/aalborg,"education,training",Education and Training,pharmaceutical manufacturing,Manufacturing,1
unsolicited job application - dk office,administrative,Administrative and Support,machinery manufacturing,Manufacturing,1
global mobility and compensation specialist,human resources,Human Resources and People Management,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",1
clinical data analyst i,"research,science,analyst","Healthcare and Science, Research and Analysis",pharmaceutical manufacturing,Manufacturing,1
medical doctor - medical devices & digital health,health care provider,Healthcare and Science,pharmaceutical manufacturing,Manufacturing,1
junior buyer,"purchasing,supply chain",Purchasing and Supply Chain,medical device,Manufacturing,1
executive assistant,administrative,Administrative and Support,manufacturing,Manufacturing,1
"sales support specialist massey ferguson, denmark, sweden and baltics",other,Other,"machinery manufacturing,farming","Manufacturing, Other",1
group lead,other,Other,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",1
group lead,other,Other,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",1
battery cell stacking specialist (f/m/x),other,Other,motor vehicle manufacturing,Manufacturing,1
"vice president, material manufacturing development","purchasing,supply chain",Purchasing and Supply Chain,pharmaceutical manufacturing,Manufacturing,1
statistical omics specialist,other,Other,pharmaceutical manufacturing,Manufacturing,1
engineer energy systems,other,Other,"appliances,electrical,electronics manufacturing","Manufacturing, Other",1
buyer (debrecen),"purchasing,supply chain",Purchasing and Supply Chain,"appliances,electrical,electronics manufacturing","Manufacturing, Other",1
senior director global construction procurement,"purchasing,supply chain",Purchasing and Supply Chain,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",1
health & safety coordinator,health care provider,Healthcare and Science,"public safety,pharmaceutical manufacturing","Manufacturing, Other",1
"unsolicited internship during your studies - food safety & quality (randers sv, dk, 8940)","education,training",Education and Training,"food,beverage manufacturing","Food and Beverage, Manufacturing",1
department assistant,administrative,Administrative and Support,pharmaceutical manufacturing,Manufacturing,1
internship in hr,human resources,Human Resources and People Management,"appliances,electrical,electronics manufacturing","Manufacturing, Other",1
paersonal assistant (to md),administrative,Administrative and Support,automotive,Manufacturing,1
senior buyer,purchasing,Purchasing and Supply Chain,"appliances,electrical,electronics manufacturing","Manufacturing, Other",1
customer experience manager with focus on customer surveys and feedback analyses,other,Other,"appliances,electrical,electronics manufacturing","Manufacturing, Other",1
npi coordinator,other,Other,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",1
test specialist,"education,finance","Education and Training, Legal and Finance",computer hardware manufacturing,Manufacturing,1
"personal assistant to vice president, medical & science centre of expertise",administrative,Administrative and Support,pharmaceutical manufacturing,Manufacturing,1
financial accountant,other,Other,"appliances,electrical,electronics manufacturing","Manufacturing, Other",1
government & public affairs specialist,legal,Legal and Finance,manufacturing,Manufacturing,1
"internship in commercial product management, heat/cooling","education,training",Education and Training,"appliances,electrical,electronics manufacturing","Manufacturing, Other",1
project assistant talent pipeline - greater copenhagen area,administrative,Administrative and Support,pharmaceutical manufacturing,Manufacturing,1
personal assistant to corporate vice president,administrative,Administrative and Support,pharmaceutical manufacturing,Manufacturing,1
student assistant for business hr,administrative,Administrative and Support,industrial machinery manufacturing,Manufacturing,1
internship with the media team at findus/nomad foods,"education,training",Education and Training,manufacturing,Manufacturing,1
assistant cra,"research,science","Healthcare and Science, Research and Analysis","biotechnology research,pharmaceutical manufacturing","Healthcare and Pharmaceuticals, Manufacturing",1
weighing supervisor,other,Other,machinery manufacturing,Manufacturing,1
digitalisation manager,other,Other,pharmaceutical manufacturing,Manufacturing,1
drug discovery specialist,other,Other,pharmaceutical manufacturing,Manufacturing,1
training coordinator,human resources,Human Resources and People Management,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",1
internship in .net app development,"education,training",Education and Training,"appliances,electrical,electronics manufacturing","Manufacturing, Other",1
customer experience client coordinator,"sales,business development","Management and Leadership, Sales and Marketing",financial services,Financial and Business Services,2
program director,"business development,sales","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
"head of property & expansion, asia","sales,management","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
head of development operations,"business development,sales","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
co-founder,"business development,sales","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
account manager,"sales,business development","Management and Leadership, Sales and Marketing","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",2
junior modelling specialist,"business development,sales","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
head of section - areas and rights (55730),"business development,sales","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
hubspot sales manager,"sales,business development","Management and Leadership, Sales and Marketing",advertising services,Services and Miscellaneous,2
group brand manager food products - rekrutacja online,"product management,marketing","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
marketing assistant intern,"marketing,advertising,strategy,planning","Management and Leadership, Sales and Marketing","human resources services,business consulting,services","Financial and Business Services, Other",2
product owner,"business development,product management",Management and Leadership,"it services,it consulting,financial services","Financial and Business Services, Services and Miscellaneous",2
chief sales officer,"sales,business development","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
sales excellence specialist,"sales,business development","Management and Leadership, Sales and Marketing",financial services,Financial and Business Services,2
product developer ( ios 行動應用軟體開發),"product management,marketing","Management and Leadership, Sales and Marketing","it services,it consulting",Services and Miscellaneous,2
global head of client experience,"business development,sales","Management and Leadership, Sales and Marketing",financial services,Financial and Business Services,2
product specialist (hardware product),"sales,business development","Management and Leadership, Sales and Marketing","it services,it consulting",Services and Miscellaneous,2
account manager (vietnam region),"sales,business development","Management and Leadership, Sales and Marketing","it services,it consulting",Services and Miscellaneous,2
junior e-commerce specialist,"sales,business development","Management and Leadership, Sales and Marketing",financial services,Financial and Business Services,2
ai business strategy consultant,"business development,sales","Management and Leadership, Sales and Marketing","business consulting,services","Financial and Business Services, Other",2
two new colleagues for seismic data acquisition to the green transition,"business development,sales","Management and Leadership, Sales and Marketing",research services,Services and Miscellaneous,2
partner success & sales specialist,"sales,business development","Management and Leadership, Sales and Marketing",photography,Services and Miscellaneous,2
"策略合作關係經理, strategic alliances and partnerships manager, myviewboard & originals","education,marketing,business development","Education and Training, Management and Leadership, Sales and Marketing","it services,it consulting",Services and Miscellaneous,2
business consultant – healthcare,"consulting,information technology,sales","Information Technology, Management and Leadership, Sales and Marketing","it services,it consulting",Services and Miscellaneous,2
uk business development manager,"business development,sales","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
epc business development manager,"business development,sales","Management and Leadership, Sales and Marketing",human resources services,Financial and Business Services,2
strategy & innovation lead - data & analytics,business development,Management and Leadership,"it services,it consulting,financial services","Financial and Business Services, Services and Miscellaneous",2
business development manager (localization industry),"business development,sales","Management and Leadership, Sales and Marketing","advertising services,staffing,recruiting,manufacturing","Financial and Business Services, Manufacturing, Services and Miscellaneous",2
business development director – marine,"business development,sales","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
sales assistant (業務助理),"sales,business development","Management and Leadership, Sales and Marketing","it services,it consulting",Services and Miscellaneous,2
global vertical head of fmcg,"sales,business development","Management and Leadership, Sales and Marketing","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",2
frontend tech lead,"sales,business development","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
sales consultant (spanish speaking) - full-time position,"sales,business development","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
solution sales (高雄 presales),"sales,business development","Management and Leadership, Sales and Marketing","it services,it consulting",Services and Miscellaneous,2
relationship mgr,"sales,business development","Management and Leadership, Sales and Marketing",banking,Financial and Business Services,2
product sales manager,"sales,business development","Management and Leadership, Sales and Marketing","it services,it consulting",Services and Miscellaneous,2
business development associate/manager,"business development,sales","Management and Leadership, Sales and Marketing","it services,it consulting,financial services","Financial and Business Services, Services and Miscellaneous",2
head of sales,"sales,business development","Management and Leadership, Sales and Marketing",e-learning providers,Services and Miscellaneous,2
business development manager,"business development,sales","Management and Leadership, Sales and Marketing","advertising services,staffing,recruiting,manufacturing","Financial and Business Services, Manufacturing, Services and Miscellaneous",2
head of product marketing,"product management,marketing","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
director of product development – hybrid denmark & hungary,"product management,marketing","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
"business development manager, fintech","business development,sales","Management and Leadership, Sales and Marketing","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",2
product sales manager (產品銷售經理),"sales,business development","Management and Leadership, Sales and Marketing","it services,it consulting",Services and Miscellaneous,2
"sales development representative, copenhagen (maternity cover)","sales,business development","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
management team assistant – 100% remotely,"business development,sales","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
solution specialist,"sales,business development","Management and Leadership, Sales and Marketing","it services,it consulting",Services and Miscellaneous,2
field sales manager (anz region) - remote,"sales,business development","Management and Leadership, Sales and Marketing","it services,it consulting",Services and Miscellaneous,2
business development manager - emea,"business development,sales","Management and Leadership, Sales and Marketing",financial services,Financial and Business Services,2
spare parts management specialist,"sales,business development","Management and Leadership, Sales and Marketing",human resources services,Financial and Business Services,2
business development representative,"sales,business development","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
sales executive,"sales,business development","Management and Leadership, Sales and Marketing",financial services,Financial and Business Services,2
business to business director – urgent hire,"business development,sales","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
key account manager,"sales,business development","Management and Leadership, Sales and Marketing","business consulting,services","Financial and Business Services, Other",2
country product manager denmark,"product management,marketing","Management and Leadership, Sales and Marketing","it services,it consulting",Services and Miscellaneous,2
country head (new business),"business development,sales","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
business consultant - logic apps,"consulting,information technology,sales","Information Technology, Management and Leadership, Sales and Marketing","it services,it consulting",Services and Miscellaneous,2
business manager in performance & business management,business development,Management and Leadership,"it services,it consulting,financial services","Financial and Business Services, Services and Miscellaneous",2
business development intern,"business development,sales","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
"director, enterprise sales emea & apac","sales,business development","Management and Leadership, Sales and Marketing","it services,it consulting",Services and Miscellaneous,2
head of programme – get hired fast,"consulting,information technology,sales","Information Technology, Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
sales executive - connected vehicle solutions,"sales,business development","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
"manager, product management, open banking europe (experience design team)","product management,marketing","Management and Leadership, Sales and Marketing","it services,it consulting,technology,information,internet,financial services","Financial and Business Services, Services and Miscellaneous, Technology and Information",2
business development director (it/electronic products),"business development,sales","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
